CAL_DT,STORE_KEY,PROD_KEY,INVENTORY_ON_HAND_QTY,INVENTORY_ON_ORDER_QTY,OUT_OF_STOCK_FLG,WASTE_QTY,PROMOTION_FLG,NEXT_DELIVERY_DT
2020-03-11,37,58,91.48,77.55,1,8.53,True,2020-03-17
2020-02-05,22,86,88.57,76.64,1,5.87,False,2020-02-09
2020-02-29,48,30,53.57,63.35,1,1.57,True,2020-03-04
2020-02-03,47,86,37.07,60.49,0,4.44,True,2020-02-07
2020-03-08,26,5,80.13,56.55,1,0.75,True,2020-03-12
2020-04-05,28,44,97.12,23.61,0,5.92,False,2020-04-12
2020-01-12,31,3,47.74,71.57,0,9.86,False,2020-01-19
2020-02-09,39,53,92.92,49.92,1,5.57,True,2020-02-16
2020-03-15,16,2,95.81,73.04,0,3.75,False,2020-03-17
2020-01-04,35,38,45.75,4.09,1,2.22,False,2020-01-05
2020-02-20,35,1,29.49,23.69,0,6.92,True,2020-02-23
2020-01-29,42,26,39.89,54.48,0,2.39,False,2020-02-02
2020-03-29,20,30,50.46,59.47,1,3.85,True,2020-04-04
2020-01-21,37,25,66.02,92.94,1,9.21,False,2020-01-28
2020-03-25,39,56,4.67,5.84,0,0.78,False,2020-03-31
2020-01-01,12,48,75.54,49.16,1,3.55,True,2020-01-08
2020-01-13,6,58,15.43,88.44,0,9.17,True,2020-01-14
2020-03-12,21,89,80.83,60.51,0,0.17,False,2020-03-14
2020-03-21,14,48,94.32,17.17,0,9.33,False,2020-03-23
2020-01-28,18,79,81.34,37.99,0,3.81,True,2020-02-04
2020-02-21,50,100,90.58,54.96,0,3.86,True,2020-02-23
2020-04-07,50,69,3.66,34.55,0,3.79,False,2020-04-10
2020-03-18,33,45,46.35,22.83,0,1.64,False,2020-03-19
2020-01-10,5,39,42.51,95.9,0,5.22,True,2020-01-11
2020-02-17,39,60,25.57,7.4,1,9.9,False,2020-02-18
2020-04-05,13,80,1.61,37.47,0,7.36,False,2020-04-08
2020-01-24,28,44,91.15,61.2,1,0.29,True,2020-01-30
2020-03-27,2,77,42.33,19.63,1,4.31,False,2020-04-01
2020-04-02,41,38,44.35,26.12,1,8.43,False,2020-04-07
2020-01-23,32,73,84.49,86.94,1,3.35,False,2020-01-28
2020-03-30,38,86,12.32,23.37,0,4.8,False,2020-04-02
2020-01-08,14,61,55.79,75.47,0,8.33,False,2020-01-09
2020-03-14,4,22,18.39,91.32,0,3.04,False,2020-03-21
2020-04-07,2,43,63.09,37.65,1,8.72,True,2020-04-14
2020-03-20,43,7,83.5,65.65,1,3.91,True,2020-03-24
2020-02-05,22,71,82.51,62.87,0,7.83,True,2020-02-12
2020-01-19,11,59,48.25,25.08,0,3.58,False,2020-01-25
2020-02-10,32,31,1.63,1.34,1,3.27,True,2020-02-17
2020-03-11,7,32,32.5,78.45,0,8.83,True,2020-03-13
2020-01-03,20,96,9.9,51.2,1,8.54,False,2020-01-06
2020-01-05,48,85,13.01,81.28,1,9.66,True,2020-01-07
2020-02-12,23,83,21.8,92.13,1,7.44,True,2020-02-15
2020-02-12,31,11,91.94,61.47,1,9.73,False,2020-02-17
2020-02-18,41,70,71.85,3.31,0,5.26,True,2020-02-20
2020-02-21,32,59,9.63,17.5,0,0.07,True,2020-02-28
2020-03-01,40,67,25.81,66.26,0,3.2,True,2020-03-06
2020-02-25,5,18,61.3,46.52,0,3.5,False,2020-02-26
2020-02-16,41,19,12.59,68.67,1,2.08,False,2020-02-17
2020-03-27,5,88,35.32,58.15,1,5.98,False,2020-03-31
2020-02-27,22,35,36.85,16.63,0,9.42,False,2020-03-02
2020-02-19,31,87,59.61,66.08,0,0.05,False,2020-02-25
2020-04-04,15,63,19.12,48.45,0,8.82,False,2020-04-10
2020-04-05,29,36,80.31,0.86,1,2.15,False,2020-04-11
2020-01-21,16,27,42.08,8.74,0,3.32,True,2020-01-26
2020-04-06,6,15,33.68,15.87,0,9.27,False,2020-04-07
2020-03-08,27,71,72.64,71.21,1,1.24,True,2020-03-15
2020-02-05,22,19,82.41,20.96,1,6.16,False,2020-02-09
2020-02-24,47,29,30.51,26.76,0,3.3,True,2020-02-25
2020-01-21,31,31,9.22,76.92,1,2.02,False,2020-01-22
2020-02-23,23,35,69.07,86.61,1,8.25,True,2020-02-27
2020-02-25,35,48,32.23,49.07,0,9.73,False,2020-02-28
2020-03-13,43,86,81.51,87.41,0,0.07,True,2020-03-16
2020-01-03,27,14,57.55,60.76,1,8.2,True,2020-01-08
2020-01-24,10,73,61.99,31.69,1,3.76,True,2020-01-26
2020-02-14,17,36,91.02,35.7,1,3.0,True,2020-02-15
2020-01-10,26,12,71.38,67.86,1,1.33,True,2020-01-11
2020-04-08,36,16,63.22,26.61,1,1.72,False,2020-04-09
2020-03-31,24,33,18.66,3.88,0,3.4,True,2020-04-06
2020-03-10,28,39,86.03,65.42,0,3.51,True,2020-03-17
2020-01-13,4,95,14.59,91.54,1,9.5,True,2020-01-14
2020-01-17,10,73,1.4,48.49,0,2.67,False,2020-01-20
2020-03-12,38,78,5.56,53.16,0,0.84,False,2020-03-16
2020-03-27,27,38,66.48,46.15,1,9.87,True,2020-03-28
2020-03-14,8,100,71.78,32.04,0,5.91,True,2020-03-18
2020-02-06,6,70,26.0,91.98,0,8.18,False,2020-02-12
2020-01-20,46,36,1.12,2.59,1,9.83,False,2020-01-23
2020-02-02,20,7,26.06,75.51,1,3.77,False,2020-02-05
2020-04-03,40,10,9.77,25.17,0,9.77,False,2020-04-09
2020-03-27,31,67,36.74,96.07,0,7.97,True,2020-04-01
2020-03-03,25,10,7.49,43.57,0,0.07,True,2020-03-04
2020-01-17,17,92,6.6,3.08,1,6.34,True,2020-01-20
2020-01-29,42,49,41.27,12.0,1,1.32,False,2020-02-05
2020-03-26,33,44,20.49,0.74,1,9.96,False,2020-04-01
2020-03-09,40,6,13.4,4.17,0,8.88,False,2020-03-12
2020-01-12,43,50,70.53,11.4,0,8.56,False,2020-01-19
2020-03-13,38,75,42.68,27.56,0,7.47,True,2020-03-20
2020-04-06,19,57,67.0,4.66,0,8.29,False,2020-04-08
2020-03-03,49,97,4.89,6.13,0,0.61,False,2020-03-09
2020-02-14,40,84,23.97,37.25,0,3.9,True,2020-02-15
2020-03-11,47,80,62.26,52.31,1,7.32,False,2020-03-17
2020-03-27,1,49,9.91,33.51,0,7.66,False,2020-03-28
2020-02-29,24,58,47.38,96.4,0,9.02,False,2020-03-06
2020-02-12,11,71,16.3,54.65,1,1.9,True,2020-02-16
2020-03-18,21,42,2.22,8.84,0,8.61,True,2020-03-20
2020-03-22,28,75,31.9,79.23,0,2.0,True,2020-03-25
2020-01-12,50,23,79.5,55.67,1,5.11,True,2020-01-18
2020-02-12,45,15,67.57,2.55,1,1.65,False,2020-02-19
