PROD_KEY,PROD_NAME,VOL,WGT,BRAND_NAME,STATUS_CODE,STATUS_CODE_NAME,CATEGORY_KEY,CATEGORY_NAME,SUBCATEGORY_KEY,SUBCATEGORY_NAME
1,Product-1,3.93,26.79,brand-17,1,active,3,category-1,1,subcategory-3
2,Product-2,1.05,32.15,brand-6,1,active,4,category-4,3,subcategory-4
3,Product-3,4.24,16.67,brand-19,1,active,4,category-2,3,subcategory-2
4,Product-4,4.42,30.87,brand-2,1,active,4,category-5,1,subcategory-5
5,Product-5,3.93,25.45,brand-13,1,active,4,category-2,2,subcategory-2
6,Product-6,0.78,23.71,brand-6,1,active,4,category-1,5,subcategory-1
7,Product-7,4.43,27.12,brand-17,1,active,2,category-5,4,subcategory-5
8,Product-8,4.57,25.71,brand-13,1,active,4,category-3,5,subcategory-4
9,Product-9,3.21,47.07,brand-14,1,active,4,category-5,4,subcategory-1
10,Product-10,4.41,49.37,brand-10,1,active,4,category-1,5,subcategory-4
11,Product-11,1.13,33.81,brand-6,1,active,3,category-2,1,subcategory-4
12,Product-12,0.94,44.45,brand-1,1,active,4,category-4,5,subcategory-2
13,Product-13,3.7,42.38,brand-14,1,active,3,category-2,5,subcategory-3
14,Product-14,1.92,19.41,brand-4,1,active,2,category-1,2,subcategory-5
15,Product-15,4.59,20.38,brand-19,1,active,3,category-5,4,subcategory-1
16,Product-16,1.43,14.94,brand-9,1,active,5,category-1,4,subcategory-3
17,Product-17,4.18,17.0,brand-20,1,active,5,category-4,3,subcategory-2
18,Product-18,3.9,38.29,brand-4,1,active,5,category-1,5,subcategory-1
19,Product-19,1.87,42.48,brand-15,1,active,1,category-4,5,subcategory-2
20,Product-20,3.03,45.91,brand-3,1,active,2,category-3,3,subcategory-3
21,Product-21,1.46,36.95,brand-19,1,active,2,category-3,1,subcategory-5
22,Product-22,3.57,35.24,brand-9,1,active,2,category-4,3,subcategory-2
23,Product-23,3.59,15.93,brand-19,1,active,2,category-1,5,subcategory-1
24,Product-24,1.99,11.75,brand-12,1,active,3,category-3,3,subcategory-2
25,Product-25,3.49,39.54,brand-10,1,active,5,category-4,2,subcategory-1
26,Product-26,4.46,45.6,brand-10,1,active,5,category-5,2,subcategory-3
27,Product-27,3.64,24.02,brand-17,1,active,1,category-5,2,subcategory-5
28,Product-28,1.47,43.36,brand-17,1,active,3,category-4,4,subcategory-2
29,Product-29,0.57,19.73,brand-13,1,active,4,category-5,4,subcategory-3
30,Product-30,2.26,36.7,brand-20,1,active,4,category-4,4,subcategory-5
31,Product-31,4.86,39.92,brand-9,1,active,4,category-1,3,subcategory-4
32,Product-32,4.31,43.72,brand-9,1,active,1,category-3,3,subcategory-5
33,Product-33,2.15,43.46,brand-6,1,active,1,category-1,1,subcategory-3
34,Product-34,2.76,24.51,brand-16,1,active,1,category-4,5,subcategory-3
35,Product-35,4.64,29.98,brand-2,1,active,5,category-3,3,subcategory-4
36,Product-36,4.6,45.57,brand-1,1,active,3,category-2,5,subcategory-2
37,Product-37,4.04,44.17,brand-15,1,active,1,category-4,2,subcategory-1
38,Product-38,1.17,44.38,brand-4,1,active,4,category-4,4,subcategory-1
39,Product-39,4.11,26.15,brand-9,1,active,4,category-2,3,subcategory-5
40,Product-40,4.92,16.43,brand-20,1,active,5,category-5,3,subcategory-2
41,Product-41,3.15,48.88,brand-17,1,active,3,category-1,1,subcategory-5
42,Product-42,1.54,41.62,brand-15,1,active,4,category-3,2,subcategory-2
43,Product-43,2.78,20.8,brand-11,1,active,4,category-1,5,subcategory-2
44,Product-44,2.54,17.15,brand-6,1,active,1,category-4,4,subcategory-3
45,Product-45,1.78,21.1,brand-15,1,active,2,category-4,2,subcategory-2
46,Product-46,1.0,26.94,brand-2,1,active,4,category-3,1,subcategory-3
47,Product-47,3.12,40.39,brand-2,1,active,1,category-2,5,subcategory-1
48,Product-48,3.46,18.46,brand-1,1,active,2,category-2,3,subcategory-3
49,Product-49,2.33,11.62,brand-14,1,active,4,category-5,5,subcategory-4
50,Product-50,3.53,44.21,brand-4,1,active,1,category-1,2,subcategory-4
51,Product-51,0.7,19.03,brand-9,1,active,1,category-5,2,subcategory-1
52,Product-52,4.26,14.05,brand-12,1,active,5,category-3,3,subcategory-1
53,Product-53,1.77,43.31,brand-12,1,active,2,category-1,2,subcategory-4
54,Product-54,1.36,36.9,brand-11,1,active,4,category-3,1,subcategory-1
55,Product-55,3.21,23.79,brand-18,1,active,1,category-4,5,subcategory-1
56,Product-56,1.36,32.88,brand-18,1,active,2,category-4,5,subcategory-1
57,Product-57,1.96,29.67,brand-15,1,active,3,category-5,2,subcategory-5
58,Product-58,0.61,39.17,brand-14,1,active,3,category-3,5,subcategory-4
59,Product-59,3.39,47.95,brand-2,1,active,2,category-2,2,subcategory-1
60,Product-60,1.81,41.8,brand-12,1,active,2,category-5,3,subcategory-5
61,Product-61,3.2,24.96,brand-13,1,active,4,category-5,2,subcategory-3
62,Product-62,4.45,29.21,brand-17,1,active,3,category-1,5,subcategory-2
63,Product-63,2.66,39.76,brand-19,1,active,3,category-3,5,subcategory-1
64,Product-64,2.95,12.5,brand-18,1,active,2,category-3,1,subcategory-2
65,Product-65,0.61,13.48,brand-5,1,active,1,category-1,5,subcategory-3
66,Product-66,3.68,18.56,brand-2,1,active,5,category-1,5,subcategory-1
67,Product-67,3.46,19.64,brand-10,1,active,1,category-2,4,subcategory-1
68,Product-68,3.46,44.72,brand-18,1,active,5,category-4,3,subcategory-5
69,Product-69,1.51,34.11,brand-6,1,active,3,category-4,1,subcategory-3
70,Product-70,4.83,23.43,brand-2,1,active,2,category-4,1,subcategory-1
71,Product-71,4.81,14.53,brand-15,1,active,5,category-5,2,subcategory-2
72,Product-72,1.89,49.35,brand-19,1,active,1,category-5,1,subcategory-4
73,Product-73,2.98,39.29,brand-16,1,active,5,category-1,4,subcategory-5
74,Product-74,3.74,18.44,brand-4,1,active,4,category-5,5,subcategory-5
75,Product-75,1.82,35.37,brand-7,1,active,1,category-5,1,subcategory-3
76,Product-76,2.22,44.96,brand-2,1,active,1,category-4,4,subcategory-4
77,Product-77,3.26,45.76,brand-18,1,active,1,category-5,5,subcategory-3
78,Product-78,4.43,25.43,brand-10,1,active,1,category-4,1,subcategory-2
79,Product-79,1.74,10.63,brand-18,1,active,3,category-1,5,subcategory-1
80,Product-80,4.53,47.41,brand-3,1,active,2,category-3,1,subcategory-1
81,Product-81,4.38,14.46,brand-5,1,active,5,category-2,5,subcategory-5
82,Product-82,4.74,22.88,brand-9,1,active,1,category-3,1,subcategory-4
83,Product-83,3.82,37.8,brand-19,1,active,5,category-5,1,subcategory-3
84,Product-84,4.25,32.09,brand-3,1,active,2,category-3,3,subcategory-2
85,Product-85,4.93,10.34,brand-19,1,active,3,category-1,2,subcategory-2
86,Product-86,2.96,12.04,brand-15,1,active,2,category-5,5,subcategory-2
87,Product-87,3.88,20.09,brand-19,1,active,2,category-5,5,subcategory-1
88,Product-88,4.22,34.42,brand-8,1,active,4,category-5,1,subcategory-1
89,Product-89,2.03,30.12,brand-5,1,active,1,category-3,1,subcategory-3
90,Product-90,1.26,17.09,brand-13,1,active,2,category-5,5,subcategory-4
91,Product-91,3.23,30.88,brand-14,1,active,5,category-1,2,subcategory-2
92,Product-92,2.7,35.82,brand-16,1,active,2,category-1,5,subcategory-5
93,Product-93,3.68,12.67,brand-1,1,active,1,category-1,1,subcategory-1
94,Product-94,4.86,31.59,brand-5,1,active,2,category-3,3,subcategory-2
95,Product-95,1.68,18.42,brand-18,1,active,2,category-5,3,subcategory-5
96,Product-96,4.92,15.9,brand-12,1,active,3,category-4,4,subcategory-5
97,Product-97,4.67,47.63,brand-8,1,active,2,category-2,5,subcategory-1
98,Product-98,0.83,28.2,brand-10,1,active,4,category-4,2,subcategory-1
99,Product-99,1.65,48.7,brand-8,1,active,3,category-4,2,subcategory-3
100,Product-100,3.06,12.5,brand-3,1,active,5,category-3,1,subcategory-1
