TRANS_ID,PROD_KEY,STORE_KEY,TRANS_DT,TRANS_TIME,SALES_QTY,SALES_PRICE,SALES_AMT,DISCOUNT,SALES_COST,SALES_MGRN,SHIP_COST
1,52,16,2020-02-17,19,6,4.67,28.02,0.0,25.22,2.8,4.21
2,59,32,2020-03-15,0,6,13.23,79.38,0.0,71.44,7.94,1.56
3,65,13,2020-03-17,1,6,9.19,55.14,0.2,49.63,5.51,4.66
4,75,46,2020-03-13,16,9,18.98,170.82,0.17,153.74,17.08,1.24
5,69,28,2020-04-08,18,7,2.55,17.85,0.15,16.07,1.78,3.56
6,11,12,2020-01-06,0,8,1.65,13.2,0.14,11.88,1.32,4.06
7,70,48,2020-02-03,22,6,5.89,35.34,0.13,31.81,3.53,1.42
8,98,41,2020-04-02,20,4,9.1,36.4,0.07,32.76,3.64,3.09
9,28,1,2020-02-12,21,8,18.73,149.84,0.1,134.86,14.98,1.9
10,81,31,2020-01-25,17,7,15.17,106.19,0.07,95.57,10.62,0.9
11,50,31,2020-02-19,15,4,15.47,61.88,0.17,55.69,6.19,3.42
12,29,5,2020-03-12,2,4,8.4,33.6,0.02,30.24,3.36,3.44
13,21,4,2020-01-16,15,9,4.45,40.05,0.12,36.05,4.0,2.85
14,39,19,2020-03-10,21,9,10.41,93.69,0.17,84.32,9.37,1.02
15,70,38,2020-03-14,23,2,17.14,34.28,0.12,30.85,3.43,0.51
16,11,39,2020-04-01,15,8,16.87,134.96,0.15,121.46,13.5,2.86
17,73,33,2020-02-01,21,10,18.27,182.7,0.0,164.43,18.27,1.43
18,72,23,2020-03-20,8,5,16.69,83.45,0.09,75.11,8.34,4.09
19,11,31,2020-01-07,21,9,1.3,11.7,0.12,10.53,1.17,4.0
20,5,5,2020-01-08,9,8,11.06,88.48,0.15,79.63,8.85,4.09
21,28,45,2020-02-26,10,3,14.61,43.83,0.03,39.45,4.38,1.12
22,67,23,2020-04-04,18,2,11.95,23.9,0.11,21.51,2.39,2.25
23,14,12,2020-03-30,11,7,11.6,81.2,0.13,73.08,8.12,3.54
24,50,50,2020-03-31,6,7,8.87,62.09,0.04,55.88,6.21,1.51
25,4,24,2020-02-29,18,1,8.12,8.12,0.2,7.31,0.81,2.83
26,65,33,2020-03-13,6,6,12.99,77.94,0.03,70.15,7.79,0.65
