STORE_KEY,STORE_NUM,STORE_DESC,ADDR,CITY,REGION,CNTRY_CD,CNTRY_NM,POSTAL_ZIP_CD,PROV_STATE_DESC,PROV_STATE_CD,STORE_TYPE_CD,STORE_TYPE_DESC,FRNCHS_FLG,STORE_SIZE,MARKET_KEY,MARKET_NAME,SUBMARKET_KEY,SUBMARKET_NAME,LATITUDE,LONGITUDE
1,1,store_desc1,addr_1,city_1,,US,US,,WI,WI,ABC,ABC,Y,,7,market_10,5,submarket_1,42.350811,-95.305016
2,2,store_desc2,addr_2,city_2,,US,US,,WI,WI,ABC,ABC,Y,,1,market_1,5,submarket_2,36.362612,-106.271419
3,3,store_desc3,addr_3,city_3,,US,US,,WI,WI,ABC,ABC,Y,,6,market_10,5,submarket_5,39.699744,-109.780947
4,4,store_desc4,addr_4,city_4,,US,US,,WI,WI,ABC,ABC,Y,,8,market_5,4,submarket_2,49.21916,-73.357333
5,5,store_desc5,addr_5,city_5,,US,US,,WI,WI,ABC,ABC,N,,6,market_5,4,submarket_3,37.969096,-95.026751
6,6,store_desc6,addr_6,city_6,,US,US,,WI,WI,ABC,ABC,N,,9,market_4,1,submarket_2,49.413251,-84.107261
7,7,store_desc7,addr_7,city_7,,US,US,,WI,WI,ABC,ABC,Y,,9,market_1,1,submarket_3,38.24193,-93.845651
8,8,store_desc8,addr_8,city_8,,US,US,,WI,WI,ABC,ABC,Y,,6,market_2,4,submarket_5,44.390685,-111.072545
9,9,store_desc9,addr_9,city_9,,US,US,,WI,WI,ABC,ABC,Y,,1,market_4,4,submarket_5,35.078366,-85.63197
10,10,store_desc10,addr_10,city_10,,US,US,,WI,WI,ABC,ABC,N,,3,market_2,3,submarket_3,37.701218,-73.694815
11,11,store_desc11,addr_11,city_11,,US,US,,WI,WI,ABC,ABC,Y,,3,market_7,1,submarket_3,44.52404,-83.690115
12,12,store_desc12,addr_12,city_12,,US,US,,WI,WI,ABC,ABC,Y,,9,market_2,4,submarket_1,46.169602,-85.702371
13,13,store_desc13,addr_13,city_13,,US,US,,WI,WI,ABC,ABC,N,,5,market_4,3,submarket_3,45.168357,-78.119682
14,14,store_desc14,addr_14,city_14,,US,US,,WI,WI,ABC,ABC,Y,,8,market_3,3,submarket_1,38.369152,-82.443461
15,15,store_desc15,addr_15,city_15,,US,US,,WI,WI,ABC,ABC,N,,6,market_10,5,submarket_4,43.308958,-85.617099
16,16,store_desc16,addr_16,city_16,,US,US,,WI,WI,ABC,ABC,Y,,3,market_6,4,submarket_5,45.157863,-71.321306
17,17,store_desc17,addr_17,city_17,,US,US,,WI,WI,ABC,ABC,Y,,8,market_6,3,submarket_4,35.902462,-88.218941
18,18,store_desc18,addr_18,city_18,,US,US,,WI,WI,ABC,ABC,Y,,4,market_8,3,submarket_1,38.674076,-117.866997
19,19,store_desc19,addr_19,city_19,,US,US,,WI,WI,ABC,ABC,N,,4,market_10,3,submarket_3,36.737278,-88.647429
20,20,store_desc20,addr_20,city_20,,US,US,,WI,WI,ABC,ABC,N,,3,market_9,5,submarket_3,45.815539,-94.665681
21,21,store_desc21,addr_21,city_21,,US,US,,WI,WI,ABC,ABC,N,,4,market_7,1,submarket_4,36.36244,-79.855448
22,22,store_desc22,addr_22,city_22,,US,US,,WI,WI,ABC,ABC,Y,,8,market_10,3,submarket_4,38.527834,-112.500302
23,23,store_desc23,addr_23,city_23,,US,US,,WI,WI,ABC,ABC,N,,10,market_7,3,submarket_5,45.221437,-79.682345
24,24,store_desc24,addr_24,city_24,,US,US,,WI,WI,ABC,ABC,Y,,9,market_7,3,submarket_5,40.087055,-78.178415
25,25,store_desc25,addr_25,city_25,,US,US,,WI,WI,ABC,ABC,Y,,6,market_7,3,submarket_1,49.678698,-100.565243
26,26,store_desc26,addr_26,city_26,,US,US,,WI,WI,ABC,ABC,N,,4,market_1,4,submarket_1,46.275873,-102.339738
27,27,store_desc27,addr_27,city_27,,US,US,,WI,WI,ABC,ABC,N,,9,market_2,3,submarket_3,44.471895,-72.696616
28,28,store_desc28,addr_28,city_28,,US,US,,WI,WI,ABC,ABC,N,,5,market_8,1,submarket_4,39.815194,-107.96528
29,29,store_desc29,addr_29,city_29,,US,US,,WI,WI,ABC,ABC,N,,1,market_7,1,submarket_5,45.344036,-99.54396
30,30,store_desc30,addr_30,city_30,,US,US,,WI,WI,ABC,ABC,Y,,6,market_5,3,submarket_1,39.743847,-111.114255
31,31,store_desc31,addr_31,city_31,,US,US,,WI,WI,ABC,ABC,Y,,6,market_3,4,submarket_5,38.635399,-93.746751
32,32,store_desc32,addr_32,city_32,,US,US,,WI,WI,ABC,ABC,Y,,4,market_4,4,submarket_5,38.896908,-94.454107
33,33,store_desc33,addr_33,city_33,,US,US,,WI,WI,ABC,ABC,Y,,10,market_6,1,submarket_3,47.753552,-87.558364
34,34,store_desc34,addr_34,city_34,,US,US,,WI,WI,ABC,ABC,N,,1,market_7,1,submarket_3,38.693262,-93.691741
35,35,store_desc35,addr_35,city_35,,US,US,,WI,WI,ABC,ABC,Y,,6,market_4,3,submarket_3,48.035728,-88.264162
36,36,store_desc36,addr_36,city_36,,US,US,,WI,WI,ABC,ABC,N,,8,market_6,1,submarket_3,46.818987,-115.985953
37,37,store_desc37,addr_37,city_37,,US,US,,WI,WI,ABC,ABC,N,,9,market_4,4,submarket_3,35.079808,-85.105285
38,38,store_desc38,addr_38,city_38,,US,US,,WI,WI,ABC,ABC,N,,8,market_1,3,submarket_4,41.665233,-114.526398
39,39,store_desc39,addr_39,city_39,,US,US,,WI,WI,ABC,ABC,Y,,3,market_7,1,submarket_1,44.911384,-106.129768
40,40,store_desc40,addr_40,city_40,,US,US,,WI,WI,ABC,ABC,Y,,8,market_8,4,submarket_2,38.445574,-75.753531
41,41,store_desc41,addr_41,city_41,,US,US,,WI,WI,ABC,ABC,Y,,6,market_10,3,submarket_1,36.592637,-100.954485
42,42,store_desc42,addr_42,city_42,,US,US,,WI,WI,ABC,ABC,Y,,3,market_4,1,submarket_4,43.665142,-98.718063
43,43,store_desc43,addr_43,city_43,,US,US,,WI,WI,ABC,ABC,Y,,9,market_7,1,submarket_5,49.621754,-71.323664
44,44,store_desc44,addr_44,city_44,,US,US,,WI,WI,ABC,ABC,Y,,1,market_10,5,submarket_5,42.807573,-81.10395
45,45,store_desc45,addr_45,city_45,,US,US,,WI,WI,ABC,ABC,N,,5,market_4,1,submarket_2,38.93269,-117.193856
46,46,store_desc46,addr_46,city_46,,US,US,,WI,WI,ABC,ABC,N,,9,market_8,5,submarket_5,36.051982,-111.428138
47,47,store_desc47,addr_47,city_47,,US,US,,WI,WI,ABC,ABC,N,,6,market_10,3,submarket_4,48.896519,-97.453048
48,48,store_desc48,addr_48,city_48,,US,US,,WI,WI,ABC,ABC,Y,,1,market_10,5,submarket_2,35.205734,-109.669664
49,49,store_desc49,addr_49,city_49,,US,US,,WI,WI,ABC,ABC,Y,,6,market_10,5,submarket_5,42.936685,-84.471076
50,50,store_desc50,addr_50,city_50,,US,US,,WI,WI,ABC,ABC,N,,2,market_3,3,submarket_1,38.532156,-105.272744
